	url	checked
91	https://www.omicsdi.org/dataset/biostudies/S-EPMC4733643	no
92	https://www.omicsdi.org/dataset/biostudies/S-EPMC6766822	no
93	https://www.omicsdi.org/dataset/biostudies/S-EPMC3938679	no
94	https://www.omicsdi.org/dataset/biostudies/S-EPMC7762202	no
95	https://www.omicsdi.org/dataset/biostudies/S-EPMC3157234	no
96	https://www.omicsdi.org/dataset/biostudies/S-EPMC6010449	no
97	https://www.omicsdi.org/dataset/biostudies/S-EPMC3507496	no
98	https://www.omicsdi.org/dataset/biostudies/S-EPMC7306996	no
99	https://www.omicsdi.org/dataset/biostudies/S-EPMC4130596	no
100	https://www.omicsdi.org/dataset/biostudies/S-EPMC6345155	no
101	https://www.omicsdi.org/dataset/biostudies/S-EPMC3415310	no
102	https://www.omicsdi.org/dataset/biostudies/S-EPMC7643601	no
103	https://www.omicsdi.org/dataset/biostudies/S-EPMC5502826	no
104	https://www.omicsdi.org/dataset/biostudies/S-EPMC3889222	no
105	https://www.omicsdi.org/dataset/biostudies/S-EPMC3624695	no
106	https://www.omicsdi.org/dataset/biostudies/S-EPMC4878779	no
107	https://www.omicsdi.org/dataset/biostudies/S-EPMC4891066	no
108	https://www.omicsdi.org/dataset/biostudies/S-EPMC3241889	no
109	https://www.omicsdi.org/dataset/biostudies/S-EPMC7084385	no
110	https://www.omicsdi.org/dataset/biostudies/S-EPMC4773911	no
111	https://www.omicsdi.org/dataset/biostudies/S-EPMC4207753	no
112	https://www.omicsdi.org/dataset/biostudies/S-EPMC4392813	no
113	https://www.omicsdi.org/dataset/biostudies/S-EPMC2954716	no
114	https://www.omicsdi.org/dataset/biostudies/S-EPMC3256890	no
115	https://www.omicsdi.org/dataset/biostudies/S-EPMC3579503	no
116	https://www.omicsdi.org/dataset/biostudies/S-EPMC4571550	no
117	https://www.omicsdi.org/dataset/biostudies/S-EPMC3146529	no
118	https://www.omicsdi.org/dataset/biostudies/S-EPMC3046448	no
119	https://www.omicsdi.org/dataset/biostudies/S-EPMC7359601	no
120	https://www.omicsdi.org/dataset/biostudies/S-EPMC7561014	no
121	https://www.omicsdi.org/dataset/biostudies/S-EPMC4124869	no
122	https://www.omicsdi.org/dataset/biostudies/S-EPMC6440229	no
123	https://www.omicsdi.org/dataset/biostudies/S-EPMC3536478	no
124	https://www.omicsdi.org/dataset/biostudies/S-EPMC4474368	no
125	https://www.omicsdi.org/dataset/biostudies/S-EPMC3323594	no
126	https://www.omicsdi.org/dataset/biostudies/S-EPMC7426624	no
127	https://www.omicsdi.org/dataset/biostudies/S-EPMC7520439	no
128	https://www.omicsdi.org/dataset/biostudies/S-EPMC3518102	no
129	https://www.omicsdi.org/dataset/biostudies/S-EPMC3226558	no
