	Class ID	Original term	Term	T2T best score	Ontology	found_term	TermID
2145	http://purl.obolibrary.org/obo/MMO_0000470	gas-solid column chromatography	gas-solid column chromatography process	0.791	mmo	gas chromatography	http://purl.obolibrary.org/obo/MMO_0000469
2146	http://purl.obolibrary.org/obo/MMO_0000470	gas-solid column chromatography	gas-solid column chromatography	0.885	mmo	gas chromatography	http://purl.obolibrary.org/obo/MMO_0000469
2235	http://purl.obolibrary.org/obo/MMO_0000471	gas-liquid column chromatography	gas-liquid column chromatography detection	0.812	mmo	liquid column chromatography	http://purl.obolibrary.org/obo/MMO_0000404
2236	http://purl.obolibrary.org/obo/MMO_0000471	gas-liquid column chromatography	gas-liquid column chromatography	0.929	mmo	liquid column chromatography	http://purl.obolibrary.org/obo/MMO_0000404
2247	http://purl.obolibrary.org/obo/OBI_0000893	quantitative real time polymerase chain reaction	quantitative real time polymerase chain reaction	0.97	mmo	real-time polymerase chain reaction assay	http://purl.obolibrary.org/obo/MMO_0000460
2248	http://purl.obolibrary.org/obo/OBI_0000893	quantitative real time polymerase chain reaction	quantitative real time polymerase chain reaction method	0.913	mmo	real-time polymerase chain reaction assay	http://purl.obolibrary.org/obo/MMO_0000460
2249	http://purl.obolibrary.org/obo/OBI_0000893	quantitative real time polymerase chain reaction	quantitative real time polymerase chain reaction surveillance	0.866	mmo	real-time polymerase chain reaction assay	http://purl.obolibrary.org/obo/MMO_0000460
2254	http://purl.obolibrary.org/obo/OBI_0000893	qPCR	qPCR	0.997	mmo	real-time polymerase chain reaction assay	http://purl.obolibrary.org/obo/MMO_0000460
2367	http://purl.obolibrary.org/obo/CHMO_0001209	anion exchange chromatography	anion exchange chromatography diagnostic	0.712	mmo	anion-exchange chromatography	http://purl.obolibrary.org/obo/MMO_0000678
2368	http://purl.obolibrary.org/obo/CHMO_0001209	anion exchange chromatography	anion exchange chromatography	0.834	mmo	anion-exchange chromatography	http://purl.obolibrary.org/obo/MMO_0000678
2529	http://purl.obolibrary.org/obo/CHMO_0001009	high pressure liquid chromatography	high pressure liquid chromatography identification	0.714	mmo	high-performance liquid chromatography	http://purl.obolibrary.org/obo/MMO_0000394
2530	http://purl.obolibrary.org/obo/CHMO_0001009	high pressure liquid chromatography	high pressure liquid chromatography	0.856	mmo	high-performance liquid chromatography	http://purl.obolibrary.org/obo/MMO_0000394
2544	http://purl.obolibrary.org/obo/CHMO_0001000	chromatographic analysis	chromatographic analysis study	0.604	mmo	chromatography	http://purl.obolibrary.org/obo/MMO_0000288
2545	http://purl.obolibrary.org/obo/CHMO_0001000	chromatographic analysis	chromatographic analysis	0.666	mmo	chromatography	http://purl.obolibrary.org/obo/MMO_0000288
2694	http://purl.obolibrary.org/obo/CHMO_0000239	graphite-furnace atomic-absorption spectroscopy	graphite-furnace atomic-absorption spectroscopy identification	0.839	mmo	graphite furnace atomic absorption spectrometry	http://purl.obolibrary.org/obo/MMO_0000380
2695	http://purl.obolibrary.org/obo/CHMO_0000239	graphite-furnace atomic-absorption spectroscopy	graphite-furnace atomic-absorption spectroscopy	0.969	mmo	graphite furnace atomic absorption spectrometry	http://purl.obolibrary.org/obo/MMO_0000380
2696	http://purl.obolibrary.org/obo/CHMO_0000239	graphite-furnace atomic-absorption spectroscopy	graphite-furnace atomic-absorption spectroscopy system	0.908	mmo	graphite furnace atomic absorption spectrometry	http://purl.obolibrary.org/obo/MMO_0000380
2958	http://purl.obolibrary.org/obo/OBI_0000893	Q-PCR	Q-PCR	0.866	mmo	polymerase chain reaction assay	http://purl.obolibrary.org/obo/MMO_0000459
