	CURIE	counts
200	NCBITAXON:1005665	2
201	NCBITAXON:1005667	1
202	NCBITAXON:1005670	1
203	NCBITAXON:1005706	1
204	NCBITAXON:1005865	1
205	NCBITAXON:1005926	1
206	NCBITAXON:1005928	1
207	NCBITAXON:100594	1
208	NCBITAXON:1005941	3
209	NCBITAXON:1005944	3
210	NCBITAXON:1005945	2
211	NCBITAXON:1005962	5
212	NCBITAXON:1005963	1
213	NCBITAXON:1005994	1
214	NCBITAXON:1005999	1
215	NCBITAXON:1006	1
216	NCBITAXON:1006003	1
217	NCBITAXON:1006005	1
218	NCBITAXON:1006006	1
219	NCBITAXON:1006007	1
220	NCBITAXON:100601	1
221	NCBITAXON:1006061	3
222	NCBITAXON:1006063	3
223	NCBITAXON:1006155	7
224	NCBITAXON:100620	1
225	NCBITAXON:1006485	2
226	NCBITAXON:1006543	1
227	NCBITAXON:1006551	1
228	NCBITAXON:1006554	3
229	NCBITAXON:1006576	1
230	NCBITAXON:1006579	1
231	NCBITAXON:1006581	5
232	NCBITAXON:1006583	1
233	NCBITAXON:1006598	1
234	NCBITAXON:1006623	1
235	NCBITAXON:1006791	1
236	NCBITAXON:1006811	3
237	NCBITAXON:1006967	10
238	NCBITAXON:1006969	1
239	NCBITAXON:1007034	1
240	NCBITAXON:1007065	2
241	NCBITAXON:1007084	2
242	NCBITAXON:1007096	1
243	NCBITAXON:1007099	1
244	NCBITAXON:1007121	1
245	NCBITAXON:1007123	1
246	NCBITAXON:1007124	1
247	NCBITAXON:100716	2
248	NCBITAXON:1007502	1
249	NCBITAXON:1007511	1
250	NCBITAXON:1007514	1
251	NCBITAXON:100755	1
252	NCBITAXON:100756	3
253	NCBITAXON:100761	1
254	NCBITAXON:1007690	1
255	NCBITAXON:1007691	1
256	NCBITAXON:100774	1
257	NCBITAXON:100776	1
258	NCBITAXON:100787	8
259	NCBITAXON:1008	2
260	NCBITAXON:100816	5
261	NCBITAXON:1008222	1
262	NCBITAXON:1008298	1
263	NCBITAXON:1008392	1
264	NCBITAXON:1008452	1
265	NCBITAXON:1008453	1
266	NCBITAXON:1008460	1
267	NCBITAXON:100860	3
268	NCBITAXON:100861	7
269	NCBITAXON:100870	1
270	NCBITAXON:1008807	1
271	NCBITAXON:100884	2
272	NCBITAXON:1008888	1
273	NCBITAXON:1008895	1
274	NCBITAXON:1008952	1
275	NCBITAXON:1008974	1
276	NCBITAXON:100902	3
277	NCBITAXON:100903	1
278	NCBITAXON:100906	1
279	NCBITAXON:1009230	1
280	NCBITAXON:1009417	1
281	NCBITAXON:1009420	1
282	NCBITAXON:1009423	1
283	NCBITAXON:100951	7
284	NCBITAXON:1009695	1
285	NCBITAXON:1009714	13
286	NCBITAXON:1009717	1
287	NCBITAXON:1009853	1
288	NCBITAXON:101000	1
289	NCBITAXON:101003	1
290	NCBITAXON:1010147	1
291	NCBITAXON:101028	10
292	NCBITAXON:1010667	1
293	NCBITAXON:1010668	1
294	NCBITAXON:1010670	1
295	NCBITAXON:1010796	2
296	NCBITAXON:1010797	7
297	NCBITAXON:1010800	1
298	NCBITAXON:1010808	1
299	NCBITAXON:1010809	1
300	NCBITAXON:1010810	2
301	NCBITAXON:1010813	1
302	NCBITAXON:1010817	1
303	NCBITAXON:1010820	1
304	NCBITAXON:1010836	1
305	NCBITAXON:1010840	1
306	NCBITAXON:101088	1
307	NCBITAXON:101089	2
308	NCBITAXON:101090	1
309	NCBITAXON:101091	1
310	NCBITAXON:101096	4
311	NCBITAXON:101101	1
312	NCBITAXON:101102	1
313	NCBITAXON:101103	1
314	NCBITAXON:101105	8
315	NCBITAXON:101107	1
316	NCBITAXON:101115	2
317	NCBITAXON:101117	2
318	NCBITAXON:101119	2
319	NCBITAXON:101122	2
320	NCBITAXON:101123	1
321	NCBITAXON:101127	2
322	NCBITAXON:101132	2
323	NCBITAXON:101134	2
324	NCBITAXON:101135	3
325	NCBITAXON:101136	3
326	NCBITAXON:101142	4
327	NCBITAXON:101143	1
328	NCBITAXON:101144	2
329	NCBITAXON:101162	5
330	NCBITAXON:101164	1
331	NCBITAXON:101192	1
332	NCBITAXON:101194	1
333	NCBITAXON:101201	129
334	NCBITAXON:101203	3
335	NCBITAXON:101211	3
336	NCBITAXON:101297	2
337	NCBITAXON:101302	1
338	NCBITAXON:101313	1
339	NCBITAXON:101314	1
340	NCBITAXON:101317	1
341	NCBITAXON:101359	1
342	NCBITAXON:101383	2
343	NCBITAXON:101475	2
344	NCBITAXON:101480	3
345	NCBITAXON:101485	1
346	NCBITAXON:101486	1
347	NCBITAXON:101492	2
348	NCBITAXON:1015	2
349	NCBITAXON:101510	15
350	NCBITAXON:101519	1
351	NCBITAXON:101534	1
352	NCBITAXON:101563	1
353	NCBITAXON:101564	2
354	NCBITAXON:101571	2
355	NCBITAXON:1015974	1
356	NCBITAXON:1016	4
357	NCBITAXON:1016849	4
358	NCBITAXON:101688	1
359	NCBITAXON:1016881	1
360	NCBITAXON:1016987	1
361	NCBITAXON:1016998	3
362	NCBITAXON:1017022	1
363	NCBITAXON:1017030	1
364	NCBITAXON:1017031	1
365	NCBITAXON:1017033	1
366	NCBITAXON:101711	3
367	NCBITAXON:1017270	1
368	NCBITAXON:1017273	2
369	NCBITAXON:1017277	1
370	NCBITAXON:1017280	2
371	NCBITAXON:1017282	3
372	NCBITAXON:1017354	8
373	NCBITAXON:101761	2
374	NCBITAXON:101778	1
375	NCBITAXON:1018	4
376	NCBITAXON:101852	4
377	NCBITAXON:1019	3
378	NCBITAXON:10190	29
379	NCBITAXON:101920	6
380	NCBITAXON:101924	1
381	NCBITAXON:101926	1
382	NCBITAXON:10194	2
383	NCBITAXON:101940	1
384	NCBITAXON:10195	19
385	NCBITAXON:10197	7
386	NCBITAXON:10201	3
387	NCBITAXON:10205	35
388	NCBITAXON:10207	2
389	NCBITAXON:1021	2
390	NCBITAXON:102106	6
391	NCBITAXON:102117	1
392	NCBITAXON:102118	2
393	NCBITAXON:102119	2
394	NCBITAXON:10212	15
395	NCBITAXON:102125	1
396	NCBITAXON:102128	8
397	NCBITAXON:102148	4
398	NCBITAXON:102169	2
399	NCBITAXON:102201	1
400	NCBITAXON:102202	1
401	NCBITAXON:102204	2
402	NCBITAXON:102225	1
403	NCBITAXON:102234	92
404	NCBITAXON:10226	9
405	NCBITAXON:102264	1
406	NCBITAXON:10228	9
407	NCBITAXON:102285	3
408	NCBITAXON:10229	8
409	NCBITAXON:102291	1
