	CURIE	counts
0	NCBITAXON:10001	2
1	NCBITAXON:10002	2
2	NCBITAXON:1000413	1
3	NCBITAXON:1000420	3
4	NCBITAXON:1000428	1
5	NCBITAXON:1000594	3
6	NCBITAXON:10006	1
7	NCBITAXON:1000642	1
8	NCBITAXON:10007	2
9	NCBITAXON:10008	2
10	NCBITAXON:10009	26
11	NCBITAXON:10010	1
12	NCBITAXON:1001094	1
13	NCBITAXON:10011	1
14	NCBITAXON:1001110	1
15	NCBITAXON:1001115	1
16	NCBITAXON:1001135	1
17	NCBITAXON:100117	2
18	NCBITAXON:1001228	2
19	NCBITAXON:1001266	1
20	NCBITAXON:1001267	2
21	NCBITAXON:1001274	1
22	NCBITAXON:1001276	1
23	NCBITAXON:1001278	1
24	NCBITAXON:1001281	1
25	NCBITAXON:1001282	1
26	NCBITAXON:1001285	1
27	NCBITAXON:1001287	1
28	NCBITAXON:10013	1
29	NCBITAXON:10015	1
30	NCBITAXON:1001548	1
31	NCBITAXON:10016	16
32	NCBITAXON:100160	3
33	NCBITAXON:100169	1
34	NCBITAXON:10017	1
35	NCBITAXON:100170	1
36	NCBITAXON:10018	2
37	NCBITAXON:100181	1
38	NCBITAXON:100182	7
39	NCBITAXON:100186	1
40	NCBITAXON:100188	2
41	NCBITAXON:10019	11
42	NCBITAXON:100190	3
43	NCBITAXON:1001920	1
44	NCBITAXON:1001921	1
45	NCBITAXON:10020	4
46	NCBITAXON:100207	1
47	NCBITAXON:100208	1
48	NCBITAXON:1002246	1
49	NCBITAXON:10023	3
50	NCBITAXON:1002492	1
51	NCBITAXON:1002506	1
52	NCBITAXON:1002512	1
53	NCBITAXON:1002517	1
54	NCBITAXON:1002525	1
55	NCBITAXON:10026	63
56	NCBITAXON:1002726	1
57	NCBITAXON:1002748	4
58	NCBITAXON:1002753	1
59	NCBITAXON:1002788	1
60	NCBITAXON:1002876	1
61	NCBITAXON:1002891	3
62	NCBITAXON:10029	538
63	NCBITAXON:100306	1
64	NCBITAXON:100310	1
65	NCBITAXON:1003161	1
66	NCBITAXON:100319	1
67	NCBITAXON:100322	1
68	NCBITAXON:10034	394
69	NCBITAXON:1003495	1
70	NCBITAXON:10036	126
71	NCBITAXON:1003630	1
72	NCBITAXON:100364	1
73	NCBITAXON:100370	8
74	NCBITAXON:1003706	1
75	NCBITAXON:1003729	1
76	NCBITAXON:1003755	1
77	NCBITAXON:1003772	1
