	CURIE	counts
292	DOID1116	338
293	DOID11168	5
294	DOID112	4
295	DOID11211	1
296	DOID11239	2
297	DOID11249	20
298	DOID11294	1
299	DOID11302	2
300	DOID11355	1
301	DOID11372	3
302	DOID11383	2
303	DOID11387	3
304	DOID11405	63
305	DOID115	2
306	DOID11506	1
307	DOID1156	1
308	DOID11572	1
309	DOID11623	1
310	DOID11633	1
311	DOID11650	2
312	DOID11656	1
313	DOID11664	1
314	DOID11716	408
315	DOID11752	1
316	DOID11772	1
317	DOID11786	2
318	DOID11832	1
319	DOID11843	1
320	DOID1187	1
321	DOID11963	2
322	DOID11981	17
323	DOID12029	1
324	DOID1205	4
325	DOID12053	1
326	DOID12211	154
327	DOID1234	5
328	DOID12399	6
329	DOID12474	1
330	DOID12506	16
331	DOID12556	1
332	DOID12580	1
333	DOID12697	1
334	DOID127	191
335	DOID12783	1
336	DOID12801	321
337	DOID12849	1
338	DOID12859	1
339	DOID1287	5
340	DOID12895	7
341	DOID12904	1
342	DOID12905	1
343	DOID12961	2
344	DOID12996	1
345	DOID13002	3
346	DOID1307	3641
347	DOID1312	74
348	DOID13129	1
349	DOID13137	1
350	DOID1319	6
351	DOID13208	1
352	DOID13223	13
353	DOID1325	2
354	DOID13250	3126
355	DOID13270	4
356	DOID13271	1
357	DOID13365	1
358	DOID13386	1
359	DOID13401	1
360	DOID13417	1
361	DOID13431	2
362	DOID13664	1
363	DOID13722	2
364	DOID13725	1
365	DOID13775	2
366	DOID13891	1
367	DOID1395	538
368	DOID14006	3
369	DOID14042	41
370	DOID14087	2
371	DOID1415	56
372	DOID14188	1
373	DOID14203	3
374	DOID14225	1
375	DOID14247	4
376	DOID14276	18
377	DOID14291	1
378	DOID14336	1
379	DOID14448	1
380	DOID14482	1
381	DOID14497	2
382	DOID14499	1
383	DOID14550	11
384	DOID14566	433
385	DOID1458	1
386	DOID14735	1
387	DOID1570	1
388	DOID1574	1
389	DOID1580	2
390	DOID1602	1
391	DOID1612	105
392	DOID1618	1
393	DOID1697	3
394	DOID1799	2
395	DOID1827	1
396	DOID1866	1
397	DOID1875	18
398	DOID1882	1
399	DOID1884	198
400	DOID1920	236
401	DOID1921	2
402	DOID1923	1
403	DOID1924	158
404	DOID1943	4
405	DOID1967	148
406	DOID1969	2
407	DOID1975	1
408	DOID2024	1
409	DOID2030	1
410	DOID2043	2062
411	DOID2061	1
412	DOID2065	1
413	DOID2123	175
414	DOID217	4
415	DOID2170	106
416	DOID2217	2
417	DOID2234	2
418	DOID224	12
419	DOID2339	8
420	DOID2348	1
421	DOID2364	2
422	DOID2394	1
423	DOID2426	1
424	DOID2456	1
425	DOID2468	153
426	DOID2475	1
427	DOID2491	12
428	DOID2498	1
429	DOID2538	1
430	DOID2560	1
431	DOID2562	1
432	DOID2571	1
433	DOID2609	2
434	DOID2640	4
435	DOID2648	2
436	DOID2658	5
437	DOID270	1
438	DOID2710	3
439	DOID2732	2
440	DOID2754	9
441	DOID2755	1
442	DOID2797	1
443	DOID2801	2
444	DOID2810	17
445	DOID2841	1
446	DOID2846	1
447	DOID2856	1
448	DOID2934	1
449	DOID2942	212
450	DOID2986	2
451	DOID3016	1
452	DOID3021	14
453	DOID303	1
454	DOID3044	74
455	DOID3055	2
456	DOID3093	1
457	DOID3119	2
458	DOID3128	2
459	DOID314	1
460	DOID3146	173
461	DOID3191	2
462	DOID3193	1
463	DOID3200	1
464	DOID321	1
465	DOID3241	1
466	DOID3246	40
467	DOID3247	373
468	DOID3255	1
469	DOID326	5030
470	DOID3260	2
471	DOID331	6
472	DOID3312	1
473	DOID3371	157
474	DOID3376	2
475	DOID3382	166
476	DOID3393	6
477	DOID341	81
478	DOID3450	4
479	DOID3492	12
480	DOID3493	5
481	DOID3498	1334
482	DOID3502	1
483	DOID3535	1
484	DOID365	1
485	DOID3660	2
486	DOID3713	1
487	DOID3720	1
488	DOID3721	1
489	DOID3798	2
490	DOID3814	1
491	DOID3864	1
492	DOID3910	1840
493	DOID3928	3
494	DOID396	1
495	DOID3981	10
496	DOID3982	4
497	DOID399	5131
498	DOID4029	2
499	DOID4038	1
500	DOID4045	1
501	DOID4051	50
502	DOID4071	1
503	DOID4078	7
504	DOID4090	169
505	DOID4140	7
506	DOID4151	1
507	DOID4159	472
508	DOID417	1492
