	CURIE	counts
281	MONDO0018882	1
282	MONDO0018906	2
283	MONDO0018908	6
284	MONDO0019004	2
285	MONDO0019087	2
286	MONDO0019091	1
287	MONDO0019340	2
288	MONDO0019376	1
289	MONDO0019451	1
290	MONDO0019542	3
291	MONDO0019622	2
292	MONDO0019623	11
293	MONDO0020077	1
294	MONDO0020311	2
295	MONDO0020579	1
296	MONDO0020640	1
297	MONDO0020920	1
298	MONDO0021042	1
299	MONDO0021081	1
300	MONDO0021104	1
301	MONDO0021115	1
302	MONDO0021178	3
303	MONDO0021201	1
304	MONDO0021238	1
305	MONDO0021337	1
306	MONDO0021343	1
307	MONDO0021431	1
308	MONDO0022578	1
309	MONDO0023249	2
310	MONDO0024327	1
311	MONDO0024332	21
312	MONDO0024333	3
313	MONDO0024376	1
314	MONDO0024644	3
315	MONDO0024883	5
316	MONDO0037748	1
317	MONDO0040679	4
318	MONDO0040732	1
319	MONDO0041052	1
320	MONDO0041448	1
321	MONDO0042982	1
322	MONDO0043589	2
323	MONDO0043653	2
324	MONDO0044212	2
325	MONDO0044339	1
326	MONDO0044704	1
327	MONDO0044925	1
328	MONDO0100081	1
329	MONDO0100116	1
330	MONDO0100192	2
331	MONDO0100233	1
332	MONDO0100342	1
333	MONDO0100431	1
334	MONDO0100491	1
335	MONDO0800029	4
336	MONDO0800106	5
337	MONDO0810000	1
338	MeSHC000598645	2
339	MeSHC000604661	1
340	MeSHC000654764	5
341	MeSHC000656865	20
342	MeSHC000656947	1
343	MeSHC000656964	1
344	MeSHC000657245	363
345	MeSHC531617	1
346	MeSHC531732	1
347	MeSHC531821	2
348	MeSHC535282	1
349	MeSHC535296	1
350	MeSHC535297	1
351	MeSHC535298	4
352	MeSHC535300	1
353	MeSHC535310	1
354	MeSHC535313	1
355	MeSHC535318	1
356	MeSHC535326	2
357	MeSHC535338	1
358	MeSHC535387	1
359	MeSHC535388	2
360	MeSHC535421	1
361	MeSHC535464	2
362	MeSHC535468	4
363	MeSHC535470	4
364	MeSHC535507	1
365	MeSHC535509	3
366	MeSHC535516	8
367	MeSHC535534	1
368	MeSHC535540	1
369	MeSHC535557	1
370	MeSHC535569	1
371	MeSHC535579	1
372	MeSHC535601	1
373	MeSHC535607	6
374	MeSHC535648	1
375	MeSHC535650	1
376	MeSHC535653	1
377	MeSHC535686	1
378	MeSHC535687	2
379	MeSHC535700	16
380	MeSHC535704	3
381	MeSHC535729	1
382	MeSHC535731	3
383	MeSHC535733	2
384	MeSHC535737	3
385	MeSHC535747	1
386	MeSHC535750	2
387	MeSHC535781	3
388	MeSHC535803	2
389	MeSHC535810	2
390	MeSHC535817	1
391	MeSHC535833	1
392	MeSHC535838	7
393	MeSHC535841	4
394	MeSHC535850	1
395	MeSHC535858	9
396	MeSHC535887	4
397	MeSHC535916	38
398	MeSHC535918	3
399	MeSHC535922	1
400	MeSHC535937	9
401	MeSHC535944	1
402	MeSHC535950	1
403	MeSHC535952	1
404	MeSHC536008	1
405	MeSHC536014	1
406	MeSHC536030	6
407	MeSHC536038	1
408	MeSHC536044	1
409	MeSHC536047	3
410	MeSHC536050	1
411	MeSHC536058	1
412	MeSHC536063	1
413	MeSHC536085	2
414	MeSHC536089	4
415	MeSHC536096	3
416	MeSHC536106	24
417	MeSHC536107	1
418	MeSHC536108	4
419	MeSHC536133	1
420	MeSHC536149	1
421	MeSHC536156	1
422	MeSHC536162	1
423	MeSHC536170	47
424	MeSHC536189	3
425	MeSHC536194	1
426	MeSHC536195	1
427	MeSHC536196	3
428	MeSHC536203	1
429	MeSHC536211	1
430	MeSHC536215	1
431	MeSHC536223	1
432	MeSHC536227	283
433	MeSHC536231	4
434	MeSHC536243	3
435	MeSHC536253	1
436	MeSHC536271	2
437	MeSHC536275	1
438	MeSHC536283	2
439	MeSHC536287	6
440	MeSHC536309	22
441	MeSHC536311	1
442	MeSHC536329	6
443	MeSHC536330	3
444	MeSHC536351	29
445	MeSHC536353	1
446	MeSHC536356	1
447	MeSHC536362	3
448	MeSHC536385	1
449	MeSHC536391	8
450	MeSHC536395	4
451	MeSHC536399	3
452	MeSHC536418	7
453	MeSHC536430	1
454	MeSHC536436	1
455	MeSHC536438	1
456	MeSHC536439	14
457	MeSHC536450	1
458	MeSHC536470	4
459	MeSHC536482	1
460	MeSHC536486	1
461	MeSHC536494	32
462	MeSHC536496	9
463	MeSHC536528	127
464	MeSHC536582	1
465	MeSHC536590	1
466	MeSHC536629	3
467	MeSHC536632	5
468	MeSHC536641	3
469	MeSHC536647	1
470	MeSHC536648	2
471	MeSHC536657	1
472	MeSHC536664	1
473	MeSHC536677	1
474	MeSHC536678	2
475	MeSHC536681	1
476	MeSHC536718	1
477	MeSHC536751	8
478	MeSHC536761	1
479	MeSHC536766	8
480	MeSHC536774	5
481	MeSHC536777	2
482	MeSHC536778	14
483	MeSHC536780	9
484	MeSHC536789	1
485	MeSHC536801	10
486	MeSHC536820	2
487	MeSHC536842	1
488	MeSHC536857	3
489	MeSHC536875	57
490	MeSHC536905	5
491	MeSHC536920	2
492	MeSHC536921	1
493	MeSHC536954	18
494	MeSHC536972	4
495	MeSHC536974	1
496	MeSHC536975	1
497	MeSHC536977	6
498	MeSHC536987	3
499	MeSHC537005	1
500	MeSHC537017	19
501	MeSHC537062	3
502	MeSHC537067	2
503	MeSHC537088	2
504	MeSHC537119	2
505	MeSHC537180	8
506	MeSHC537182	42
507	MeSHC537194	2
508	MeSHC537233	2
509	MeSHC537236	1
510	MeSHC537241	12
511	MeSHC537243	3
512	MeSHC537244	1
513	MeSHC537247	1
514	MeSHC537250	1
515	MeSHC537258	5
516	MeSHC537262	12
517	MeSHC537277	4
518	MeSHC537301	1
519	MeSHC537327	1
520	MeSHC537340	2
521	MeSHC537346	4
522	MeSHC537348	2
523	MeSHC537352	1
