	CURIE	counts
0	-1	943
1	DOID0050589	1
2	DOID0050741	1
3	DOID0050745	3
4	DOID0050746	2
5	DOID0050801	2
6	DOID0050840	4
7	DOID0050856	5
8	DOID0050908	2
9	DOID0060108	3
10	DOID0060224	23
11	DOID0060903	1
12	DOID0080546	1
13	DOID0080827	1
14	DOID0081267	1
15	DOID1116	3
16	DOID11405	2
17	DOID11572	1
18	DOID12211	2
19	DOID12801	1
20	DOID1287	1
21	DOID12895	1
22	DOID1307	2
23	DOID1312	2
24	DOID13250	6
25	DOID13365	1
26	DOID1395	3
27	DOID14042	18
28	DOID1884	2
29	DOID1920	13
30	DOID1924	1
31	DOID1967	1
32	DOID2043	14
33	DOID2123	2
34	DOID2468	1
35	DOID2942	2
36	DOID3044	1
37	DOID314	1
38	DOID3146	10
39	DOID3247	3
40	DOID326	1
41	DOID3376	2
42	DOID3382	2
43	DOID341	1
44	DOID3910	2
45	DOID399	21
46	DOID4140	1
47	DOID4159	3
48	DOID417	2
49	DOID4233	1
50	DOID4376	1
51	DOID4377	2
52	DOID4378	6
53	DOID4450	6
54	DOID4481	23
55	DOID4483	8
56	DOID4992	1
57	DOID5363	1
58	DOID552	3
59	DOID5556	1
60	DOID5692	1
61	DOID783	7
62	DOID8398	7
63	DOID8552	3
64	DOID8704	3
65	DOID9191	1
66	DOID9588	1
67	DOID974	3
68	DOID9743	1
69	MONDO0000257	1
70	MONDO0000409	1
71	MONDO0000450	1
72	MONDO0000451	1
73	MONDO0000595	1
74	MONDO0000705	2
75	MONDO0002032	1
76	MONDO0002113	1
77	MONDO0002120	1
78	MONDO0002268	1
79	MONDO0002447	1
80	MONDO0002520	1
81	MONDO0002614	1
82	MONDO0003004	2
83	MONDO0003005	4
84	MONDO0004059	2
85	MONDO0004235	1
86	MONDO0004963	1
87	MONDO0005008	1
88	MONDO0005028	2
89	MONDO0005036	2
90	MONDO0005040	1
91	MONDO0005072	4
92	MONDO0005082	14
93	MONDO0005096	1
94	MONDO0005098	6
95	MONDO0005105	4
96	MONDO0005111	2
97	MONDO0005131	1
98	MONDO0005147	36
99	MONDO0005148	239
100	MONDO0005149	4
101	MONDO0005185	3
102	MONDO0005191	5
103	MONDO0005192	2
104	MONDO0005207	1
105	MONDO0005210	1
106	MONDO0005215	1
107	MONDO0005233	73
108	MONDO0005258	1
109	MONDO0005314	3
110	MONDO0005347	3
111	MONDO0005362	23
112	MONDO0005405	1
113	MONDO0005460	20
114	MONDO0005494	1
