	Class ID	Preferred Label	Synonyms	alternative term	has_exact_synonym	synlist
170	http://purl.obolibrary.org/obo/CHMO_0000001	colorimetry	colourimetry|colorimetric method	N/A	colourimetry|colorimetric method	colorimetric method
171	http://purl.obolibrary.org/obo/CHMO_0002866	evaporative light scattering detector		N/A		N/A
172	http://purl.obolibrary.org/obo/CHEBI_23367	molecular entity		N/A		N/A
173	http://purl.obolibrary.org/obo/OBI_0000011	planned process		N/A		N/A
174	http://purl.obolibrary.org/obo/CHMO_0000948	charge-coupled device	charge coupled device|CCD|CCD array	N/A	charge coupled device|CCD|CCD array	charge coupled device
174	http://purl.obolibrary.org/obo/CHMO_0000948	charge-coupled device	charge coupled device|CCD|CCD array	N/A	charge coupled device|CCD|CCD array	CCD
174	http://purl.obolibrary.org/obo/CHMO_0000948	charge-coupled device	charge coupled device|CCD|CCD array	N/A	charge coupled device|CCD|CCD array	CCD array
175	http://purl.obolibrary.org/obo/CHMO_0000941	scanning electron microscope	SEM	N/A		SEM
176	http://purl.obolibrary.org/obo/CHMO_0000943	scanning probe microscope	SPM	N/A		SPM
177	http://purl.obolibrary.org/obo/CHMO_0000947	optical microscope	light microscope	N/A	light microscope	light microscope
178	http://purl.obolibrary.org/obo/CHMO_0002166	autoclave		N/A		N/A
179	http://purl.obolibrary.org/obo/BFO_0000040	material entity		N/A		N/A
180	http://purl.obolibrary.org/obo/CHMO_0001102	autoradiography		N/A		N/A
181	http://purl.obolibrary.org/obo/CHMO_0000701	liquid chromatography-tandem mass spectrometry	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	N/A	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	liquid chromatography tandem mass spectrometry
181	http://purl.obolibrary.org/obo/CHMO_0000701	liquid chromatography-tandem mass spectrometry	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	N/A	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	liquid chromatography tandem mass spectroscopy
