	Repository	avg hallucinations	avg words	avg chars	avg true	counts
0	Harvard Dataverse	0.8366666666666667	18.92	148.08	0.16333333333333333	25
1	Mendeley	0.7304029304029304	23.03846153846154	160.34615384615384	0.2695970695970696	26
2	NCBI GEO	0.5833333333333334	39.0	287.6666666666667	0.4166666666666667	3
3	NCBI SRA	0.4238095238095238	22.892857142857142	177.67857142857142	0.5761904761904761	28
4	Omics Discovery Index (OmicsDI)	0.33469387755102037	17.102040816326532	134.12244897959184	0.6653061224489796	49
5	Vivli	0.19999999999999996	37.0	278.0	0.8	1
6	Zenodo	0.6410714285714285	22.071428571428573	168.92857142857142	0.35892857142857143	28
