	bin	avg hallucinations	avg words	avg chars	avg true	counts
0	(0, 50]	0.841025641025641	4.230769230769231	33.61538461538461	0.15897435897435896	13
1	(50, 100]	0.47979797979797983	9.787878787878787	78.06060606060606	0.5202020202020202	33
2	(100, 150]	0.4717787114845939	15.058823529411764	124.38235294117646	0.5282212885154062	34
3	(150, 200]	0.5828125000000001	24.375	176.1875	0.4171875	32
4	(200, 250]	0.571969696969697	30.954545454545453	222.95454545454547	0.428030303030303	22
5	(250, 300]	0.5807017543859649	37.0	273.57894736842104	0.4192982456140351	19
